Top 100 Rank,Text,Author-last,Author-first,Gender,Nationality,Coordinates,Date
1,Oedipus,Sophocles,,M,Greece,"39.074208,21.824312",-496
2,Nicomachean Ethics,Aristotle,,M,Greece,"39.074208,21.824312",-386
3,Republic,Plato,,M,Greece,"39.074208,21.824312",-430
4,The Elements of Style,Stunk,William,M,United States,"37.09024,-95.712891",1869-01-01
6,Manifesto of the Communist Party,Marx,Karl,M,Germany,"51.165691,10.451526",1818-01-01
7,Apology,Plato,,M,Greece,"39.074208,21.824312",-430
10,The Iliad,Homer,,M,Greece,"39.074208,21.824312",-802
11,Frankenstein,Shelly,Mary,F,United Kingdom,"55.378051,-3.435973",1797-01-01
12,The Odyssey,Homer,,M,Greece,"39.074208,21.824312",-802
13,The Leviathan,Hobbes,Thomas,M,United Kingdom,"55.378051,-3.435973",1588-01-01
14,Paradise Lost,Milton,John,M,United Kingdom,"55.378051,-3.435973",1608-01-01
15,The Prince,Machiavelli,Niccolo,M,Italy,"41.87194,12.567380",1469-01-01
19,Orientalism,Said,Edward,M,Palestine,"31.952162,35.233154",1935-01-01
26,Antigone,Sophocles,,M,Greece,"39.074208,21.824312",-496
27,The Politics,Aristotle,,M,Greece,"39.074208,21.824312",-386
34,Wealth of Nations,Smith,Adam,M,United Kingdom,"55.378051,-3.435973",1723-01-01
39,On the Social Contract,Rousseau Jean-Jacques,,M,France,"46.227638,2.213749",1712-01-01
42,Confessions,Augustine,,M,Libya,"26.3351,17.228331",354-01-01
49,Robinson Crusoe,Defoe,Daniel,M,United Kingdom,"55.378051,-3.435973",1660-01-01
52,Second Treatise of Government,Locke,John,M,United Kingdom,"55.378051,-3.435973",1632-01-01
54,The Autobiography,Franklin,Benjamin,M,United States,"37.09024,-95.712891",1706-01-01
60,Theogony,Hesiod,,M,Greece,"39.074208,21.824312",-802
63,The Aneid,Virgil,,M,Italy,"41.87194,12.567380",-72
71,Candide and Other Stories,Voltaire,,M,France,"46.227638,2.213749",1694-01-01
74,Works and Days,Hesiod,,M,Greece,"39.074208,21.824312",-802
77,Metamorphoses,Ovid,,M,Italy,"41.87194,12.567380",-43
84,Medea,Euripides,,M,Greece,"39.074208,21.824312",-484
90,The Essential Analects,Confucius,,M,China,"35.86166,104.195397",-553
104,Foundation of the Metaphysics of Morals,Kant,Immanuel,M,Germany,"51.165691,10.451526",1724-01-01
120,Lysistrata,Aristophanes,,M,Greece,"39.074208,21.824312",-448
132,Symposium,Plato,,M,Greece,"39.074208,21.824312",-430
134,Selected Writings,Thomas Aquinas,,M,Italy,"41.87194,12.567380",1225-01-01
144,The Divine Comedy,Dante,,M,Italy,"41.87194,12.567380",1265-01-01
146,Discipline & Punish,Foucault,Michel,M,France,"46.227638,2.213749",1926-01-01
157,Discourse on the Origin of Inequality,Rousseau Jean-Jacques,,M,France,"46.227638,2.213749",1712-01-01
161,The Bacchae,Euripides,,M,Greece,"39.074208,21.824312",-484
165,The Metaphysics,Aristotle,,M,Greece,"39.074208,21.824312",-386
191,The Decameron,Boccaccio,Giovanni,M,Italy,"41.87194,12.567380",1313-01-01
192,Reflections on the Revolution in France,Burke,Edmund,M,Ireland,"53.412910,-8.243890",1729-01-01
195,Agamemnon,Aeschylus,,M,Greece,"39.074208,21.824312",-525
325,The Physics,Aristotle,,M,Greece,"39.074208,21.824312",-386
364,Beyond Good and Evil,Nietzsche,Friedrich,M,Germany,"51.165691,10.451526",1844-01-01
380,Julius Caesar,Shakespeare,,M,United Kingdom,"55.378051,-3.435973",1564-01-01
413,Consolation of Philosophy,Boethius,,M,Italy,"41.87194,12.567380",480-01-01
448,Selected Writings,Marx,Karl,M,Germany,"51.165691,10.451526",1818-01-01
535,Phenomenology of Spirit,Hegel,Georg Wilhelm Friedrich,M,Germany,"51.165691,10.451526",1770-01-01
580,Introduction to the Philosophy of History,Hegel,Georg Wilhelm Friedrich,M,Germany,"51.165691,10.451526",1770-01-01
593,Gargantua and Pantagruel,Rabelais,Francois,M,France,"46.227638,2.213749",1490-01-01
689,The Human Condition,Arendt,Hannah,F,Germany,"51.165691,10.451526",1906-01-01
,The Tatler and The Spectator,Addison and Steele,Joseph and Richard,M,United Kingdom,"55.378051,-3.435973",1672-01-01
,Orlando Furioso,Ariosto,Ludovico,M,Italy,"41.87194,12.567380",1474-01-01
,Categories,Aristotle,,M,Greece,"39.074208,21.824312",-386
,Posterior Analytics,Aristotle,,M,Greece,"39.074208,21.824312",-386
,A Discourse of Trade,Barbon,Nicholas,M,United Kingdom,"55.378051,-3.435973",1640-01-01
,The Anarchical Society,Bull,Hedley,M,Australia,"-25.274398,133.775136",1632-01-01
,Don Quixote,Cervantes,Miguel,M,Spain,"40.463667,-3.749220",1547-01-01
,Fuente Ovejuna,de Vega,Lope,M,Spain,"40.463667,-3.749220",1562-01-01
,Punishment Without Revenge,de Vega,Lope,M,Spain,"40.463667,-3.749220",1562-01-01
,Rameau's Nephew,Diderot,Denis,M,France,"46.227638,2.213749",1713-01-01
,Jacques the Fatalist,Diderot,Denis,M,France,"46.227638,2.213749",1713-01-01
,The Education of a Christian Prince,Erasmus,,M,Netherlands,"52.132633,5.291266",1466-01-01
,History of the Church,Eusebius,,M,Palestine,"31.952162,35.233154",263-01-01
,Hind Swaraj and Other Writings,Gandhi,Mohandas Karamchand,M,India,"20.593684,78.962880",1869-01-01
,The Sorrows of Young Werther,Goethe,Johann Wolfgang,M,Germany,"51.165691,10.451526",1749-01-01
,Lament for a Nation,Grant,George,M,Canada,"56.130366,-106.346771",1918-01-01
,Federalist Papers,Hamilton Madison and Jay,,M,United States,"37.09024,-95.712891",1788-01-01
,An Introduction to Metaphysics,Heidegger,Martin,M,Germany,"51.165691,10.451526",1889-01-01
,Basic Writings,Heidegger,Martin,M,Germany,"51.165691,10.451526",1889-01-01
,Psalms,Herbert,Mary Sidney,F,United Kingdom,"55.378051,-3.435973",1621-01-01
,On the Rise and Progress of the Arts and Sciences & Of Refinement in the Arts,Hume,David,M,United Kingdom,"55.378051,-3.435973",1711-01-01
,Love Song of the Dark Lord: Jayadeva's Gitagovinda,Jayadeva,,M,India,"20.593684,78.962880",1200-01-01
,A Reformation Debate,Karlstadt,Andreas,M,Germany,"51.165691,10.451526",1486-01-01
,The Norton Book of Classical Literature,Knox,Bernard,M,United Kingdom,"55.378051,-3.435973",1914-01-01
,Comparing Religions,Kripal,Jeffery J.,M,United States,"37.09024,-95.712891",1962-01-01
,Tao Te Ching,Lao Tzu,,M,China,"35.86166,104.195397",-602
,Freedom of a Christian,Luther,Martin,M,Germany,"51.165691,10.451526",1483-01-01
,The Cistercian Morte Darthur,Malory,Thomas,M,United Kingdom,"55.378051,-3.435973",1405-01-01
,Don Juan and Other Plays,Moliere,,M,France,"46.227638,2.213749",1622-01-01
,The Complete Essays,Montaigne, Michel de,M,France,"46.227638,2.213749",1533-01-01
,On the Advantages and Disadvantages of History for Life,Nietzsche,Friedrich,M,Germany,"51.165691,10.451526",1844-01-01
,Letters,Petrarch,,M,Italy,"41.87194,12.567380",1304-01-01
,The Canzoniere,Petrarch,,M,Italy,"41.87194,12.567380",1304-01-01
,Meno,Plato,,M,Greece,"39.074208,21.824312",-430
,Ennead V,Plotinus,,M,Egypt,"26.820553,30.802498",204-01-01
,Britannicus Phaedra and Athaliah,Racine,Jean,M,France,"46.227638,2.213749",1639-01-01
,Politics and the Arts: Letter to M. D'Alembert on the Theatre,Rousseau,Jean-Jacques,M,France,"46.227638,2.213749",1712-01-01
,Discourse on the Arts and Sciences,Rousseau Jean-Jacques,,M,France,"46.227638,2.213749",1712-01-01
,Midnight's Children: a Novel,Rushdie,Salman,M,India,"20.593684,78.962880",1947-01-01
,Practical Grammar: A Canadian Writer's Resource,Ruvinsky,Maxine,F,Canada,"56.130366,-106.346771",
,Letters on the Aesthetic Eduction of Man,Schiller,Friedrich,M,Germany,"51.165691,10.451526",1759-01-01
,Defense of Poetry,Sidney,Philip,M,United Kingdom,"55.378051,-3.435973",1554-01-01
,The Liberation of Jerusalem,Tasso,Torquato,M,Italy,"41.87194,12.567380",1544-01-01
,Modern Social Imaginaries,Taylor,Charles,M,Canada,"56.130366,-106.346771",1931-01-01
,Music in the Western World,Weiss,Piero,M,Italy,"41.87194,12.567380",1928-01-01
,Listening to Music,Wright,Craig,M,United States,"37.09024,-95.712891",1944-01-01
,Anthropology: A Continental Perspective,Wulf,Christoph,M,Germany,"51.165691,10.451526",1944-01-01
,Epic of Gilgamesh,,,,Iraq,"33.223191,43.679291",
,The Bhagavad Gita,,,,India,"20.593684,78.962880",
,Upanisads,,,,India,"20.593684,78.962880",
,New Oxford Annotated Bible with the Apocrypha,,,,Israel,"31.046051,34.851612",
,The Complete Dead Sea Scrolls in English,,,,Palestine,"31.952162,35.233154",
,The Talmud: A Selection,,,,Israel,"31.046051,34.851612",
,The Koran Interpreted,,,,Saudi Arabia,"23.885942,45.079162",
,American Declaration of Independence,,,,United States,"37.09024,-95.712891",1776-01-01
,Huon de Bordeaux,,,,France,"46.227638,2.213749",
